Guid,Model,Success,Timestamp,Message,Network,Charging,Position_X,Position_Y,Availability
0,CPH1909,False,1 days 01:26:27,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:30:40,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:30:40,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:30:40,48.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:31:20,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:31:30,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:31:31,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:31:31,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:33:13,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:33:23,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:39:13,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:39:13,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 01:39:13,47.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:14:14,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:14:14,46.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:14:24,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:15:32,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:15:32,45.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:34:22,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:34:25,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:34:35,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 02:36:05,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 10:55:14,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 10:55:14,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 10:55:14,38.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 10:55:24,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:10:55,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:10:55,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:10:55,36.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:22:36,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:22:36,35.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:24:57,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:25:35,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:25:45,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:38:47,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:38:47,33.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:43:24,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:43:24,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:43:34,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:45:13,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:45:13,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:46:51,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:46:51,32.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:47:01,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:47:06,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:47:16,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:48:05,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:48:05,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:51:28,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:51:38,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:52:31,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:52:31,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:53:15,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:53:25,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:53:40,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 11:53:40,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 12:31:58,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 12:31:58,31.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 12:32:08,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 12:35:12,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 14:12:21,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 14:12:21,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 14:12:21,29.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 14:12:31,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 14:13:27,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 14:13:27,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:41:10,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:41:10,27.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:41:20,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:44:34,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:44:34,battery_charged_on,fix,In charge,19,62,Available
0,CPH1909,False,1 days 15:45:03,screen_on,fix,In charge,19,62,Available
0,CPH1909,False,1 days 15:45:03,screen_lock,fix,In charge,19,62,Available
0,CPH1909,False,1 days 15:45:11,battery_charged_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:58:05,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:58:05,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 15:58:05,24.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:06:11,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:06:11,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:06:21,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:06:51,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:06:57,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:06:57,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:06:57,23.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:07:07,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:26:08,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:26:08,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:26:08,20.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:54:30,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:54:30,19.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:54:42,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:54:42,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 16:54:52,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:06:46,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:06:46,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:06:46,17.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:09:08,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:09:18,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:32:21,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:32:21,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:32:21,13.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:32:41,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:32:51,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:33:42,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:33:42,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:33:46,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:33:56,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:35:39,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 17:35:39,battery_charged_on,fix,In charge,19,62,Available
0,CPH1909,False,1 days 17:35:39,12.0%,fix,In charge,19,62,Available
0,CPH1909,False,1 days 17:51:50,screen_on,fix,In charge,19,62,Available
0,CPH1909,False,1 days 17:51:50,screen_lock,fix,In charge,19,62,Available
0,CPH1909,False,1 days 17:51:50,18.0%,fix,In charge,19,62,Available
0,CPH1909,False,1 days 17:51:54,battery_charged_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:19:57,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:19:57,13.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:44:50,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:45:00,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:46:13,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:46:20,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:46:20,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:46:30,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:46:30,12.0%,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:46:47,screen_off,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:46:47,screen_lock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:47:20,screen_on,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:47:20,screen_unlock,fix,Not in charge,19,62,Not available
0,CPH1909,False,1 days 18:48:07,screen_off,fix,Not in charge,19,62,Not available
